,website,order_date,currency,unit_price,unit_price_tax,shipping_charge,total_discounts,total_owed,shipment_item_subtotal,shipment_item_subtotal_tax,product_condition,quantity,order_status,shipment_status,ship_date,shipping_option,product_name,shipping_city,shipping_state,year,month,month_name
1,Amazon.com,2025-11-17 16:37:56+00:00,USD,19.06,1.79,0,0,20.85,,,New,1,Authorized,Not Available,,next-1dc,"Champion mens Everyday Cotton Closed Pant pajama bottoms, Black, Large US",San Jose,CA,2025,11,Nov
2,Amazon.com,2025-11-17 16:37:56+00:00,USD,17.7,1.66,0,0,19.36,35.4,3.32,New,1,Closed,Shipped,2025-11-17 20:37:53.141000+00:00,rush,"Tommy Hilfiger Mens Men's Short Sleeve Crewneck with Pocket T Shirt, Vmbl251 Navy He, X-Large US",San Jose,CA,2025,11,Nov
3,Amazon.com,2025-11-17 16:37:56+00:00,USD,37.88,3.55,0,0,41.43,37.88,3.55,New,1,Authorized,Shipped,2025-11-17 23:51:21.220000+00:00,next-1dc,"Calvin Klein Men's Undershirts Cotton Classics 3 Pack V Neck Tshirts, Black, Large",San Jose,CA,2025,11,Nov
4,Amazon.com,2025-11-17 16:37:56+00:00,USD,14.99,0,0,0,14.99,14.99,0,New,1,Closed,Shipped,2025-11-17 20:11:50.287000+00:00,rush,"Meiji Chocorooms Crispy Crackers, Milk and Dark Chocolate Combination - 1.34 oz, Pack of 8 - Bite Sized Crackers in Fun Mushroom Shapes",San Jose,CA,2025,11,Nov
5,Amazon.com,2025-11-17 16:37:56+00:00,USD,17.7,1.66,0,0,19.36,35.4,3.32,New,1,Closed,Shipped,2025-11-17 20:37:53.141000+00:00,rush,"Tommy Hilfiger Men's T Shirt Crewneck with Pocket, Malaga Blue Heather X Large",San Jose,CA,2025,11,Nov
6,Amazon.com,2025-11-09 17:11:18+00:00,USD,12.63,1.18,3.27,0,17.08,12.63,1.18,New,1,Closed,Shipped,2025-11-09 19:04:27.706000+00:00,rush,"Hyland's Kids Cold and Cough, Day and Night Combo Pack, Cold Medicine for Ages 2 and up, Syrup Cough Medicine for Kids, Nasal Decongestant, 4 Fl Oz (Pack of 2)",San Jose,CA,2025,11,Nov
7,Amazon.com,2025-11-08 16:44:15+00:00,USD,16.8,0,0,0,16.8,34.44,0,New,1,Closed,Shipped,2025-11-09 12:11:13.367000+00:00,rush,"Earth's Best Organic Baby Food Pouches, Wholesome Breakfast Puree for Babies 6 Months and Older, Organic Banana Blueberry and Oat Puree, 3.5 oz Resealable Pouch (Pack of 12)",San Jose,CA,2025,11,Nov
8,Amazon.com,2025-11-08 16:44:15+00:00,USD,17.64,0,0,0,17.64,34.44,0,New,1,Closed,Shipped,2025-11-09 12:11:13.367000+00:00,rush,"Earth's Best Organic Baby Food Pouches, Fruit Grain Puree, Banana Raspberry, Whole Grain Barley, for Babies 6 Months+, 3.5 Oz (Pack of 12)",San Jose,CA,2025,11,Nov
9,Amazon.com,2025-11-07 03:55:25+00:00,USD,29.99,2.81,0,0,32.8,29.99,2.81,New,1,Closed,Shipped,2025-11-07 18:00:59.353000+00:00,next-1dc,"Circus NY by Sam Edelman Women's Zuri Ballet Flat, Black Satin Jewel, 7",San Jose,CA,2025,11,Nov
10,Amazon.com,2025-11-07 03:55:25+00:00,USD,11.95,1.12,0,0,26.14,23.9,2.24,New,2,Closed,Shipped,2025-11-07 19:44:27.893000+00:00,next-1dc,"MY Konjac Sponge | 100% All Natural Pure Baby Bath Sponge. Extra Soft & Gentle. Hypoallergenic and Completely Free of Fragrance, Coloring, Additives, Sulfates, Parabens, Phthalates & Petroleum",San Jose,CA,2025,11,Nov
11,Amazon.com,2025-11-05 16:00:09+00:00,USD,13.44,0,0,0,13.44,82.13,4.6,New,1,Closed,Shipped,2025-11-06 12:32:03.583000+00:00,rush,"Earth's Best Organic Yogurt Smoothie Pouches for Toddlers 24 Months+, Strawberry Banana, Fruit Yogurt, 4.2 oz Resealable Pouch, Pack of 12",San Jose,CA,2025,11,Nov
12,Amazon.com,2025-11-05 16:00:09+00:00,USD,4.99,0.47,0,0,5.46,82.13,4.6,New,1,Closed,Shipped,2025-11-06 12:32:03.583000+00:00,rush,essence | Lash Princess False Lash Effect Mascara | Volumizing & Lengthening | Cruelty Free & Paraben Free,San Jose,CA,2025,11,Nov
13,Amazon.com,2025-11-05 16:00:09+00:00,USD,26,2.44,0,0,28.44,82.13,4.6,New,1,Closed,Shipped,2025-11-06 12:32:03.583000+00:00,rush,"BlondMe Bond Repair Brightening Shampoo for Blonde Hair, 10.1 Fl Oz | Removes Build-Up and Impurities | Repairs, Hydrates, & Brightens Blonde, Lightened, & Grey Hair",San Jose,CA,2025,11,Nov
